instance_name,threads,iterations,round,tour_length,ratio_to_best,execution_time_ms,completed_iterations,speedup,efficiency
eil51,1,50,1,727.00,1.7066,754.00,50,0.81,81.30
eil51,1,50,2,772.00,1.8122,673.00,50,0.91,91.08
eil51,1,50,3,734.00,1.7230,613.00,50,1.00,100.00
eil51,1,50,4,757.00,1.7770,617.00,50,0.99,99.35
eil51,1,50,5,744.00,1.7465,625.00,50,0.98,98.08
eil51,2,50,1,727.00,1.7066,826.00,50,0.74,37.11
eil51,2,50,2,735.00,1.7254,853.00,50,0.72,35.93
eil51,2,50,3,734.00,1.7230,842.00,50,0.73,36.40
eil51,2,50,4,744.00,1.7465,895.00,50,0.68,34.25
eil51,2,50,5,779.00,1.8286,858.00,50,0.71,35.72
eil51,4,50,1,727.00,1.7066,654.00,50,0.94,23.43
eil51,4,50,2,762.00,1.7887,648.00,50,0.95,23.65
eil51,4,50,3,734.00,1.7230,675.00,50,0.91,22.70
eil51,4,50,4,779.00,1.8286,661.00,50,0.93,23.18
eil51,4,50,5,773.00,1.8146,661.00,50,0.93,23.18
eil51,8,50,1,772.00,1.8122,672.00,50,0.91,11.40
eil51,8,50,2,757.00,1.7770,656.00,50,0.93,11.68
eil51,8,50,3,734.00,1.7230,662.00,50,0.93,11.57
eil51,8,50,4,729.00,1.7113,649.00,50,0.94,11.81
eil51,8,50,5,746.00,1.7512,658.00,50,0.93,11.65
kroA100,1,50,1,47024.00,2.2096,2185.00,50,1.00,100.00
kroA100,1,50,2,47963.00,2.2537,2208.00,50,0.99,98.96
kroA100,1,50,3,47576.00,2.2355,2244.00,50,0.97,97.37
kroA100,1,50,4,49016.00,2.3032,2186.00,50,1.00,99.95
kroA100,1,50,5,47405.00,2.2275,2308.00,50,0.95,94.67
kroA100,2,50,1,47304.00,2.2227,3276.00,50,0.67,33.35
kroA100,2,50,2,47576.00,2.2355,3233.00,50,0.68,33.79
kroA100,2,50,3,49016.00,2.3032,3189.00,50,0.69,34.26
kroA100,2,50,4,47405.00,2.2275,3148.00,50,0.69,34.70
kroA100,2,50,5,48751.00,2.2907,3199.00,50,0.68,34.15
kroA100,4,50,1,47304.00,2.2227,2378.00,50,0.92,22.97
kroA100,4,50,2,47405.00,2.2275,2392.00,50,0.91,22.84
kroA100,4,50,3,48751.00,2.2907,2363.00,50,0.92,23.12
kroA100,4,50,4,47938.00,2.2525,2374.00,50,0.92,23.01
kroA100,4,50,5,48038.00,2.2572,2385.00,50,0.92,22.90
kroA100,8,50,1,47304.00,2.2227,2266.00,50,0.96,12.05
kroA100,8,50,2,47938.00,2.2525,2286.00,50,0.96,11.95
kroA100,8,50,3,46588.00,2.1891,2274.00,50,0.96,12.01
kroA100,8,50,4,47240.00,2.2197,2275.00,50,0.96,12.01
kroA100,8,50,5,45264.00,2.1269,2268.00,50,0.96,12.04
ch150,1,50,1,18174.00,2.7840,4945.00,50,1.00,100.00
ch150,1,50,2,17740.00,2.7175,5258.00,50,0.94,94.05
ch150,1,50,3,18209.00,2.7894,5797.00,50,0.85,85.30
ch150,1,50,4,18022.00,2.7607,4988.00,50,0.99,99.14
ch150,1,50,5,18462.00,2.8281,5407.00,50,0.91,91.46
ch150,2,50,1,18317.00,2.8059,7349.00,50,0.67,33.64
ch150,2,50,2,17740.00,2.7175,7014.00,50,0.71,35.25
ch150,2,50,3,18022.00,2.7607,6863.00,50,0.72,36.03
ch150,2,50,4,18462.00,2.8281,7041.00,50,0.70,35.12
ch150,2,50,5,18527.00,2.8381,6918.00,50,0.71,35.74
ch150,4,50,1,17740.00,2.7175,5436.00,50,0.91,22.74
ch150,4,50,2,18318.00,2.8061,5486.00,50,0.90,22.53
ch150,4,50,3,18022.00,2.7607,5428.00,50,0.91,22.78
ch150,4,50,4,18462.00,2.8281,5424.00,50,0.91,22.79
ch150,4,50,5,17730.00,2.7160,5434.00,50,0.91,22.75
ch150,8,50,1,17740.00,2.7175,5076.00,50,0.97,12.18
ch150,8,50,2,17730.00,2.7160,5025.00,50,0.98,12.30
ch150,8,50,3,17934.00,2.7472,4985.00,50,0.99,12.40
ch150,8,50,4,18455.00,2.8271,5023.00,50,0.98,12.31
ch150,8,50,5,18716.00,2.8670,5020.00,50,0.99,12.31
gr202,1,50,1,101011.00,2.5152,9193.00,50,0.96,96.18
gr202,1,50,2,102841.00,2.5608,8920.00,50,0.99,99.13
gr202,1,50,3,101134.00,2.5183,8842.00,50,1.00,100.00
gr202,1,50,4,104260.00,2.5961,8955.00,50,0.99,98.74
gr202,1,50,5,103766.00,2.5838,8866.00,50,1.00,99.73
gr202,2,50,1,103148.00,2.5684,13406.00,50,0.66,32.98
gr202,2,50,2,101134.00,2.5183,13247.00,50,0.67,33.37
gr202,2,50,3,104260.00,2.5961,13151.00,50,0.67,33.62
gr202,2,50,4,103766.00,2.5838,13104.00,50,0.67,33.74
gr202,2,50,5,105351.00,2.6233,12952.00,50,0.68,34.13
gr202,4,50,1,101134.00,2.5183,10184.00,50,0.87,21.71
gr202,4,50,2,102841.00,2.5608,10134.00,50,0.87,21.81
gr202,4,50,3,105477.00,2.6264,10723.00,50,0.82,20.61
gr202,4,50,4,100184.00,2.4946,9987.00,50,0.89,22.13
gr202,4,50,5,101899.00,2.5373,10255.00,50,0.86,21.56
gr202,8,50,1,103148.00,2.5684,10122.00,50,0.87,10.92
gr202,8,50,2,101899.00,2.5373,10569.00,50,0.84,10.46
gr202,8,50,3,102567.00,2.5540,10316.00,50,0.86,10.71
gr202,8,50,4,104725.00,2.6077,10033.00,50,0.88,11.02
gr202,8,50,5,103836.00,2.5856,9882.00,50,0.89,11.18
